date,open,high,low,close,volume
20,2022-02-08,13.81,13.91,14.18,13.4,161413.0,600238
21,2022-02-09,13.97,14.25,14.5,13.74,158935.0,600238
22,2022-02-10,14.2,14.06,14.42,13.91,109570.0,600238
23,2022-02-11,14.03,13.75,14.32,13.7,122521.0,600238
24,2022-02-14,13.5,13.65,13.88,13.4,87722.0,600238
25,2022-02-15,13.7,14.26,14.66,13.58,188884.0,600238
26,2022-02-16,14.04,14.36,14.75,13.96,165806.0,600238
27,2022-02-17,14.36,14.21,14.69,14.15,142198.0,600238
28,2022-02-18,14.06,14.46,14.55,13.98,136904.0,600238
29,2022-02-21,14.34,14.66,14.97,14.34,129368.0,600238
30,2022-02-22,14.61,14.28,14.8,14.21,115376.0,600238
31,2022-02-23,14.43,14.65,14.66,14.13,139011.0,600238
32,2022-02-24,14.56,13.72,14.67,13.38,211017.0,600238
33,2022-02-25,13.74,14.07,14.49,13.74,144853.0,600238
34,2022-02-28,14.0,14.26,14.31,13.76,112649.0,600238
35,2022-03-01,14.26,14.91,15.2,14.2,253589.0,600238
36,2022-03-02,14.65,14.87,14.93,14.55,143302.0,600238
37,2022-03-03,14.9,14.46,15.02,14.43,106781.0,600238
38,2022-03-04,14.48,14.22,14.6,14.11,104697.0,600238
39,2022-03-07,14.21,13.79,14.21,13.66,110219.0,600238
40,2022-03-08,14.0,13.38,14.24,13.27,136157.0,600238
41,2022-03-09,13.4,13.01,13.55,12.32,153933.0,600238
42,2022-03-10,13.3,13.67,13.76,13.1,134683.0,600238
43,2022-03-11,13.44,13.69,13.85,13.3,111578.0,600238
44,2022-03-14,13.4,12.99,13.54,12.99,92314.0,600238
45,2022-03-15,13.04,12.15,13.05,12.12,130722.0,600238
46,2022-03-16,12.4,12.39,12.5,11.64,125534.0,600238
47,2022-03-17,12.5,13.63,13.63,12.5,231982.0,600238
48,2022-03-18,13.78,13.54,13.78,13.31,201062.0,600238
49,2022-03-21,13.44,13.68,13.84,13.44,117606.0,600238
50,2022-03-22,13.59,13.26,13.65,13.17,115270.0,600238
51,2022-03-23,13.21,13.35,13.78,13.19,152563.0,600238
52,2022-03-24,13.2,13.02,13.27,12.9,113232.0,600238
53,2022-03-25,13.19,12.76,13.2,12.7,86079.0,600238
54,2022-03-28,12.6,12.59,12.74,12.25,90712.0,600238
55,2022-03-29,12.7,12.23,12.79,12.2,90770.0,600238
56,2022-03-30,12.34,12.48,12.56,12.27,86665.0,600238
57,2022-03-31,12.37,12.22,12.5,12.21,83533.0,600238
58,2022-04-01,12.17,12.43,12.97,12.03,167344.0,600238
59,2022-04-06,12.27,12.66,12.9,12.21,162715.0,600238
60,2022-04-07,12.55,12.87,13.51,12.45,232625.0,600238
61,2022-04-08,12.76,13.37,13.66,12.5,302842.0,600238
62,2022-04-11,13.07,12.53,13.19,12.31,230209.0,600238
63,2022-04-12,12.3,13.78,13.78,12.22,416053.0,600238
64,2022-04-13,13.8,14.18,14.9,13.51,541940.0,600238
65,2022-04-14,14.19,15.59,15.6,13.84,574759.0,600238
66,2022-04-15,14.9,14.35,15.55,14.3,430654.0,600238
67,2022-04-18,13.99,14.53,14.9,13.7,270965.0,600238
68,2022-04-19,14.38,14.35,14.99,14.08,242291.0,600238
69,2022-04-20,14.21,14.48,14.75,14.05,273194.0,600238
70,2022-04-21,14.18,13.25,14.42,13.21,267096.0,600238
71,2022-04-22,13.05,13.1,13.44,12.66,206862.0,600238
72,2022-04-25,12.74,11.79,12.76,11.79,223140.0,600238
73,2022-04-26,11.79,12.14,12.63,11.63,295345.0,600238
74,2022-04-27,11.85,12.27,12.34,11.48,253425.0,600238
75,2022-04-28,12.02,11.93,12.48,11.88,201043.0,600238
76,2022-04-29,12.17,12.33,12.5,12.03,211924.0,600238
77,2022-05-05,12.2,12.41,12.65,12.19,178736.0,600238
78,2022-05-06,11.9,11.82,12.08,11.65,179135.0,600238
79,2022-05-09,11.78,11.99,12.08,11.67,113389.0,600238
80,2022-05-10,11.78,12.39,12.66,11.7,198358.0,600238
81,2022-05-11,12.35,12.22,12.7,12.19,218580.0,600238
82,2022-05-12,12.2,12.83,13.15,12.2,306554.0,600238
83,2022-05-13,12.79,12.68,13.09,12.58,200087.0,600238
84,2022-05-16,12.82,12.64,12.93,12.48,190340.0,600238
85,2022-05-17,12.71,13.9,13.9,12.63,364424.0,600238
86,2022-05-18,13.73,13.98,14.47,13.51,456773.0,600238
87,2022-05-19,13.56,13.75,13.85,13.45,258702.0,600238
88,2022-05-20,13.7,14.0,14.31,13.7,362449.0,600238
89,2022-05-23,13.82,14.0,14.12,13.73,228323.0,600238
90,2022-05-24,13.9,13.19,13.99,13.18,247848.0,600238
91,2022-05-25,13.17,13.33,13.56,13.0,185191.0,600238
92,2022-05-26,13.39,13.49,13.7,13.0,227311.0,600238
93,2022-05-27,13.3,13.35,13.73,13.15,182367.0,600238
94,2022-05-30,13.43,13.49,13.69,13.34,204454.0,600238
95,2022-05-31,13.42,13.85,14.1,13.24,330458.0,600238
96,2022-06-01,13.98,14.51,15.23,13.88,567865.0,600238
97,2022-06-02,14.05,13.75,14.2,13.53,415470.0,600238
98,2022-06-06,13.75,13.7,13.78,13.42,239622.0,600238
99,2022-06-07,13.7,13.84,14.07,13.59,292364.0,600238
100,2022-06-08,13.75,13.85,14.13,13.66,271446.0,600238
101,2022-06-09,13.78,13.31,13.88,13.21,221749.0,600238
102,2022-06-10,13.12,13.33,13.43,13.12,135613.0,600238
103,2022-06-13,13.22,13.29,13.38,13.12,143960.0,600238
